Country,Count,Rate,Year
Sri Lanka,145898,66.3931915444842,2016
Kosovo under UNSCR 1244,134509,833.1224588632817,2016
Georgia,120349,345.0346978064757,2014
Mauritius,116270,1049.0287322698994,2011
Malta,114990,2136.5546578822023,2015
Kenya,112521,21.95779342731894,2016
El Salvador,106040,156.48393276455366,2015
Botswana,106006,1288.3170830206805,2014
Mongolia,102756,270.63939184080965,2016
Bosnia and Herzegovina,101831,228.88335350425572,2016
Jordan,86859,159.68321644220754,2012
Sudan,75093,227.86184131472336,2008
Luxembourg,72065,1560.9872068536772,2014
Malaysia,71445,137.87815973865543,2006
Iraq (Central Iraq),62755,32.59610500882277,2014
Iceland,57540,1314.1502167635515,2016
United Arab Emirates,56763,135.02532642139735,2016
Albania,55135,155.73212012866415,2016
Kuwait,53701,364.18904991219534,2009
Armenia,53275,130.3854497937338,2016
The former Yugoslav Rep. of Macedonia,47519,254.990529586133,2014
Azerbaijan,43311,36.76767412084614,2016
Nicaragua,42439,257.52173237553006,2010
Eswatini,42386,1942.2676564014405,2004
Honduras,40969,49.39632204834125,2016
Trinidad and Tobago,37350,235.07333370418164,2015
Bolivia (Plurinational State of),36879,47.514398000978765,2012
Syrian Arab Republic,35168,48.00960119341215,2008
Bahrain,32873,835.1790614829702,2008
Mozambique,31522,24.153966650847632,2009
Maldives,29923,1335.186787248624,2013
Suriname,28215,2873.97375162803,2004
Tajikistan,27705,47.866606145560624,2011
Macao Special Administrative Region of China,26105,517.4890229549236,2016
Bangladesh,25529,8.83906371270244,2006
State of Palestine,25238,83.9387398744842,2012
Barbados,23834,655.596006068394,2016
Cabo Verde,23395,753.601283838091,2015
Sierra Leone,20561,168.77878947585685,2008
Guyana,20369,446.30893233255773,2016
Grenada,19599,1555.426867512051,2016
Myanmar,19457,4.726036346361128,2016
Cyprus,18558,121.97096325182056,2016
St. Vincent and the Grenadines,17220,1754.1060012639755,2012
Lesotho,14223,237.04863339868112,2009
Bahamas,13107,464.32627168893885,2012
Montenegro,13053,150.1493568605356,2016
Dominican Republic,13021,25.445015360960074,2016
Oman,11543,213.13586486412896,2008
Belize,10604,332.4240841391901,2016
Bermuda,9958,1577.319453389232,2016
Andorra,9213,1245.8900656380342,2015
Senegal,5160,12.363205935296527,2016
Jamaica,4690,32.93582721918166,2016
Solomon Islands,4412,183.5033930068431,2008
Brunei Darussalam,4288,295.67828326989786,2006
Qatar,3428,103.29214019707504,2006
Turkmenistan,3093,32.352595410703984,2006
Bhutan,2934,65.36257557128177,2014
Liechtenstein,2654,526.7674745595315,2016
United Republic of Tanzania,2644,1.292695892127064,2015
Burundi,2354,8.181551636446864,2014
Nepal,2327,2.8263378490638007,2016
Monaco,2235,1210.260594956761,2016
St. Kitts and Nevis,1577,1022.3075578577705,2011
Guinea,1348,13.350861125590502,2007
Madagascar,646,0.4634414643307269,2015
Sao Tome and Principe,43,4.0871178570514415,2011
Holy See,0,0.0,2015
